at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.152239, 0.847761, 0, 0
0.101177, 0.152239, 0.847761, 0, 0
0.203656, 0.251282, 0.748718, 0, 0
0.306205, 0.287815, 0.712185, 0, 0
0.395205, 0.3, 0.7, 0, 0.028
0.467017, 0.276, 0.724, 0, 0
0.570859, 0.294, 0.706, 0, 0
0.674329, 0.336, 0.664, 0, 0
0.739237, 0.386, 0.614, 0, 0
0.844961, 0.498, 0.502, 0, 0
0.950903, 0.498, 0.502, 0, 0
1.05975, 0.44, 0.56, 0, 0
1.16769, 0.424, 0.576, 0, 0
1.27427, 0.412, 0.588, 0, 0
1.38048, 0.392, 0.608, 0, 0
1.48485, 0.358, 0.642, 0, 0
1.59006, 0.334, 0.666, 0, 0.032
1.66392, 0.302, 0.698, 0, 0.078
1.76718, 0.24, 0.76, 0, 0.018
1.87393, 0.234, 0.766, 0, 0.01
1.97739, 0.244, 0.756, 0, 0
2.0812, 0.256, 0.744, 0, 0
20.2157, 0.256, 0.744, 0, 0
20.2401, 0.252, 0.748, 0, 0
2.32017, 0.248, 0.752, 0, 0
2.44494, 0.244, 0.756, 0, 0
2.54903, 0.244, 0.756, 0, 0
2.66016, 0.244, 0.756, 0, 0
2.76728, 0.23, 0.77, 0, 0
2.87406, 0.218, 0.782, 0, 0
2.97783, 0.192, 0.808, 0, 0
3.07981, 0.192, 0.808, 0, 0
3.18505, 0.192, 0.808, 0, 0
3.28958, 0.192, 0.808, 0, 0
3.39571, 0.174, 0.826, 0, 0
3.50154, 0.17, 0.83, 0, 0
3.60589, 0.17, 0.83, 0, 0
3.65243, 0.17, 0.83, 0, 0
3.75746, 0.17, 0.83, 0, 0
3.86274, 0.17, 0.83, 0, 0
3.97295, 0.17, 0.83, 0, 0
4.07903, 0.17, 0.83, 0, 0
4.19406, 0.184, 0.816, 0, 0
4.30034, 0.198, 0.802, 0, 0
4.33919, 0.198, 0.802, 0, 0
4.44566, 0.2, 0.8, 0, 0
4.56351, 0.196, 0.804, 0, 0
4.67054, 0.19, 0.81, 0, 0
4.77706, 0.192, 0.808, 0, 0
4.88294, 0.196, 0.804, 0, 0
